,ECCN Code,Description
1604,4A994,"Computers, electronic assemblies"
1605,3A999,Electronic devices
1606,3A991,Specific Processing Equipment
1607,1A995,Protective and detection equipment
1608,8A992,"Vessels, marine systems or equipment"
1611,0A504,Optical sighting devices for firearms (including shotguns controlled by
1612,0A502,"Shotguns; shotguns ""parts"" and ""components,"" consisting of complete items"
1613,0A606,"Ground vehicles and related commodities, as follows"
1615,1C351,"Human and animal pathogens and toxins, as follows"
1617,3A611,"Military electronics, as follows"
1621,1A004,"Protective and Detection Equipment and Components, Not Specially Designed"
1625,9A991,"""Aircraft,"" n.e.s., and gas turbine engines not controlled by 9A001 or"
1628,4A003,"""Digital computers,"" ""electronic assemblies,"" and related equipment that"
1638,6A993,"Cameras, not controlled by 6A003 or 6A203, as follows"
1640,2B230,All types of pressure transducers capable of measuring absolute pressure
1644,6A005,"Lasers, components and optical equipment"
1646,2B352,Equipment capable of use in handling biological materials
1648,3B991,Equipment not controlled by 3B001 for the manufacture of electronic products
1653,5B002,"Information Security test, inspection and production equipment"
1661,3A991,Electronic devices and components
1662,3B992,Equipment not controlled by 3B002 for the inspection or testing of electronic devices
1664,3A992,General purpose electronic equipment
1665,2B999,Specific processing equipment
1669,2B350,"Chemical manufacturing facilities and equipment, except valves control"
1670,0A503,Discharge type arms; non-lethal or less-lethal grenades and projectile
1674,1A985,"Fingerprinting powders, dyes, and inks"
1684,9E610,"Technology required for the development, production, operation"
1689,4A994,"Computers, electronic assemblies and related equipment not controlled by"
1690,1A995,Protective and detection equipment not specially designed for military
1694,5D992,Information Security software not controlled by 5D002
1696,EAR99,Items subject to the EAR that are not elsewhere specified in the Commerce Control List
1698,5A002,"Information security systems, equipment, and components"
1703,2A994,Portable electric generators and specially designed parts and components
1704,5D002,Software as follows
1712,0A606,Ground vehicles and related commodities
1714,9B610,"Test, inspection, and production equipment"
1722,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A610"
1731,4A994,"Computers, electronic assemblies and related equipment not controlled by 4A001"
1732,3B001,Equipment for the manufacturing of semiconductor devices or materials
1734,3A991,Electronic devices and components not controlled by 3A001
1742,1C351,Human and animal pathogens and toxins
1743,1C107,Graphite and Ceramic Materials
1750,9A991,"""Aircraft"", n.e.s., and gas turbine engines not controlled by 9A001 or"
1752,9A515,"""Spacecraft"" and related commodities"
1753,5D002,"""Software"""
1760,3B991,Equipment not controlled by 3B001
1761,3A991,Electronic devices
1762,3A999,Specific Processing Equipment
1763,6A998,Radar systems
1764,4A994,Computers
1768,7A103,"Instrumentation, navigation equipment and systems, other than those co"
